date,variable,state_code,value
2020-12-05,mask_requirement,Michigan,4741.2734375
2020-12-05,mask_requirement,Mississippi,3461.642578125
2020-12-05,mask_requirement,Nebraska,6897.01171875
2020-12-05,no_mask_requirement,Michigan,4974.26904296875
2020-12-05,no_mask_requirement,Mississippi,3685.57763671875
2020-12-05,no_mask_requirement,Nebraska,6919.490234375
2020-12-06,mask_requirement,Michigan,4591.80859375
2020-12-06,mask_requirement,Mississippi,3549.355712890625
2020-12-06,mask_requirement,Nebraska,6813.38916015625
2020-12-06,no_mask_requirement,Michigan,4897.9384765625
2020-12-06,no_mask_requirement,Mississippi,3771.814453125
2020-12-06,no_mask_requirement,Nebraska,6706.4267578125
2020-12-07,mask_requirement,Michigan,4579.50146484375
2020-12-07,mask_requirement,Mississippi,3606.10302734375
2020-12-07,mask_requirement,Nebraska,6656.783203125
2020-12-07,no_mask_requirement,Michigan,4827.0341796875
2020-12-07,no_mask_requirement,Mississippi,3860.86865234375
2020-12-07,no_mask_requirement,Nebraska,6425.75244140625
2020-12-08,mask_requirement,Michigan,4475.14501953125
2020-12-08,mask_requirement,Mississippi,3694.998291015625
2020-12-08,mask_requirement,Nebraska,6365.60791015625
2020-12-08,no_mask_requirement,Michigan,4714.9521484375
2020-12-08,no_mask_requirement,Mississippi,3882.547607421875
2020-12-08,no_mask_requirement,Nebraska,6221.35791015625
2020-12-09,mask_requirement,Michigan,4456.46728515625
2020-12-09,mask_requirement,Mississippi,3822.04833984375
2020-12-09,mask_requirement,Nebraska,6402.56591796875
2020-12-09,no_mask_requirement,Michigan,4676.98388671875
2020-12-09,no_mask_requirement,Mississippi,3907.8837890625
2020-12-09,no_mask_requirement,Nebraska,6196.46044921875
2020-12-10,mask_requirement,Michigan,4442.78955078125
2020-12-10,mask_requirement,Mississippi,3995.458740234375
2020-12-10,mask_requirement,Nebraska,6167.9375
2020-12-10,no_mask_requirement,Michigan,4637.947265625
2020-12-10,no_mask_requirement,Mississippi,3956.15673828125
2020-12-10,no_mask_requirement,Nebraska,6275.29638671875
2020-12-11,mask_requirement,Michigan,4357.37841796875
2020-12-11,mask_requirement,Mississippi,3948.4013671875
2020-12-11,mask_requirement,Nebraska,5992.34521484375
2020-12-11,no_mask_requirement,Michigan,4484.486328125
2020-12-11,no_mask_requirement,Mississippi,3983.05859375
2020-12-11,no_mask_requirement,Nebraska,6119.2578125
2020-12-12,mask_requirement,Michigan,4309.2236328125
2020-12-12,mask_requirement,Mississippi,4064.9912109375
2020-12-12,mask_requirement,Nebraska,5762.44580078125
2020-12-12,no_mask_requirement,Michigan,4451.6708984375
2020-12-12,no_mask_requirement,Mississippi,3994.36962890625
2020-12-12,no_mask_requirement,Nebraska,6020.0634765625
2020-12-13,mask_requirement,Michigan,4266.61181640625
2020-12-13,mask_requirement,Mississippi,4069.982177734375
