"","Louisiana.week","Louisiana.total_sequences","Louisiana.20I..Alpha..V1.","Louisiana.20J..Gamma..V3.","Louisiana.21A..Delta.","Louisiana.21I..Delta.","Louisiana.21J..Delta.","Louisiana.21K..Omicron.","Louisiana.21L..Omicron.","Louisiana.22A..Omicron.","Louisiana.22B..Omicron.","Louisiana.22C..Omicron.","Louisiana.21D..Eta.","Louisiana.21F..Iota.","Louisiana.21G..Lambda.","Louisiana.21H..Mu.","Louisiana.20B.S.732A","Louisiana.20E..EU1.","Louisiana.21C..Epsilon.","Louisiana.S.677H.Robin1","Louisiana.S.677P.Pelican","Louisiana.20G.S.677H.Robin2","Louisiana.20G.S.677H.Yellowhammer","Louisiana.20G.S.677H.Heron","Louisiana.20G.S.677H.Mockingbird"
"36","2021-09-06",899,3,0,8,53,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","2021-09-20",701,0,0,8,37,653,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"38","2021-10-04",466,0,0,0,13,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",281,0,0,1,13,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","2021-11-01",305,0,0,0,11,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",216,0,0,0,12,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",477,0,0,0,13,317,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",912,0,0,0,9,121,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",2362,0,0,0,1,37,2324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",1245,0,0,0,0,4,1234,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",1360,0,0,0,0,0,1350,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",801,0,0,0,0,0,784,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",289,0,0,0,0,2,254,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",155,0,0,0,0,0,109,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",86,0,0,0,0,0,41,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",127,0,0,0,0,0,12,97,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",200,0,0,0,0,0,4,127,0,4,65,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",232,0,0,0,0,0,1,127,1,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0
