"","Virginia.week","Virginia.total_sequences","Virginia.20I..Alpha..V1.","Virginia.20H..Beta..V2.","Virginia.20J..Gamma..V3.","Virginia.21A..Delta.","Virginia.21I..Delta.","Virginia.21J..Delta.","Virginia.21K..Omicron.","Virginia.21L..Omicron.","Virginia.22A..Omicron.","Virginia.22B..Omicron.","Virginia.22C..Omicron.","Virginia.21B..Kappa.","Virginia.21D..Eta.","Virginia.21F..Iota.","Virginia.21G..Lambda.","Virginia.21H..Mu.","Virginia.20B.S.732A","Virginia.20E..EU1.","Virginia.21C..Epsilon.","Virginia.20A.S.439K","Virginia.S.677H.Robin1","Virginia.S.677P.Pelican","Virginia.20G.S.677H.Robin2","Virginia.20G.S.677H.Yellowhammer","Virginia.20G.S.677H.Quail","Virginia.20G.S.677H.Mockingbird"
"38","2021-10-04",1463,0,0,0,11,65,1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","2021-10-18",1376,1,0,0,15,102,1257,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"40","2021-11-01",1217,0,0,0,6,49,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","2021-11-15",1204,0,0,0,1,44,1154,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","2021-11-29",1741,0,0,0,3,76,1629,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","2021-12-13",2386,0,0,0,0,34,1096,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","2021-12-27",2654,0,0,0,0,12,251,2387,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","2022-01-10",2133,0,0,0,0,0,36,2090,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","2022-01-24",1817,0,0,0,0,1,9,1790,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","2022-02-07",1712,0,0,0,0,0,1,1680,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","2022-02-21",984,0,0,0,0,0,0,918,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","2022-03-07",585,0,0,0,0,0,0,375,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","2022-03-21",611,0,0,0,0,1,0,164,422,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","2022-04-04",930,0,0,0,0,0,0,51,721,1,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","2022-04-18",1256,0,0,0,0,0,0,16,796,4,1,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","2022-05-02",621,0,0,0,0,0,0,3,319,8,1,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
